#front|back
陽|[yáng] opposite of 阴 yīn; 太阳 tàiyáng the sun
哥|[gē] (=哥哥 gēge) older brother
驚|[jīng] surprise
嗎|[ma] {interrogative particle}><br /><br />[má] what; 干吗? gàn má? What's up?<br /><br />[mǎ] 吗啡 mǎfēi morphine
整|[zhěng] (=整个 zhěnggè) whole; 调整 tiáozhěng adjust; 整齐 zhěngqí neat
支|[zhī] branch, support; 支持 zhīchí sustain; 地支 dìzhī the Twelve Terrestrial Branches
古|[gǔ] (=古代 gǔdài) ancient<br /><br />{Compare with 舌 shé tongue}
漢|[hàn] Chinese ethnicity; 汉语 hànyu Chinese; 汉字 hànzi Chinese character; 老汉 lǎohàn old man
突|[tū] charge forward, stick out; 突然 tūrán suddenly
號|[hào] name, number, mark<br /><br />[háo] yell
絕|[jué] cut off, absolute
選|[xuǎn] (=选择 xuǎnzé) choose, select; 选举 xuǎnjǔ election
吧|[ba] at end of sentence, indicates suggestion<br /><br />[bā] snap!
參|[cān] 参加 cānjiā participate<br /><br />[shēn] 人参 rénshēn ginseng<br /><br />[cēn] 参差 cēncī uneven, irregular
刊|[kān] periodical, publication; 报刊 bǎokān periodical publications, the press
亞|[yà] inferior, second; 亚洲 Yàzhōu Asia
复|[fù] (F復) 恢复 huīfù recover, (F複) 复杂 fùzá complicated, complex, (F覆) cover
傷|[shāng] wound, injury, injure; 创伤 chuāngshāng trauma
類|[lèi] category, kind, type; 类似 lèisì similar
備|[bèi] (=准备 zhǔnbèi) get ready, prepare; 设备 shèbèi equipment
歡|[huān] (=欢乐 huānlè) happy, joyous; 喜欢 xǐhuan like
另|[lìng] other; 另外 lìngwài other, besides
港|[gǎng] harbor; 香港 Xiānggǎng Hong Kong
勢|[shì] power; 形势 xíngshì circumstances; 姿势 zīshì posture
刻|[kè] carve, quarter hour, moment
星|[xīng] star; 火星 huǒxīng Mars; 星期 xīngqī week
斷|[duàn] cut off; 不断 búduàn unceasing; 判断 pànduàn judge
陳|[chén] display, explain, stale, (dynasty 557-589)
掌|[zhǎng] palm of the hand; 掌握 zhǎngwò grasp
農|[nóng] (=农民 nóngmín) farmer, peasant; 农业 nóngyè agriculture
夜|[yè] (=夜晚 yèwǎn) night; 半夜 bànyè, 午夜 wǔyè midnight; 夜里 yèlǐ at night
般|[bān] sort, kind; 一般 yìbān ordinary<br /><br />[pán] happy<br /><br />[bō] 般若 bōrě buddhist wisdom, prajna
唸|[niàn] miss, read aloud; 观念 guānniàn concept; 念书 niànshū study
价|[jià] (F價) (=价值 jiàzhí) value, (=价钱 jiàqian) price<br /><br />[jie] (F價)<br /><br />[jiè] servant
腦|[nǎo] (=脑子 nǎozi) brain; 脑袋 nǎodai head; 脑壳 nǎoké skull; 电脑 diànnǎo computer
規|[guī] 规律 guīlǜ regular pattern; 规定 guīdìng regulations
底|[dǐ] bottom; 彻底 chèdǐ thorough; 到底 dàodǐ after all
故|[gù] cause, therefore; 故事 gùshi story; 故意 gùyì on purpose
省|[shěng] province, economize, omit<br /><br />[xǐng] 反省 fǎnxǐng introspection
媽|[mā] mother, mom; 妈妈 māma mama
剛|[gāng] firm, (=刚才 gāngcái) just (a moment ago)
句|[jù] sentence
顯|[xiǎn] appear; 显然 xiǎnrán obvious
消|[xiāo] disappear; 消息 xiāoxi news; 消灭 xiāomiè perish
衣|[yī] (=衣服 yīfu) clothing<br /><br />[yì] wear (clothing), give (clothing) to others to wear
陸|[lù] land; 大陆 continent<br /><br />[liù] six (= 六 liù)
器|[qì] utensil, (=机器 jīqi) machine; 武器 wǔqì weapon
確|[què] true; 正确 zhèngquè correct; 确实 quèshí indeed; 明确 míngquè explicit
破|[pò] smash; 破坏 pòhuài ruin; 破烂 pòlàn worn out
具|[jù] 工具 gōngjù tool; 具有 jùyǒu possess; 具体 jùtǐ concrete; 玩具 wánjù toy
居|[jū] (=居住 jūzhù) live, reside; 居民 jūmín resident; 居然 jūrán unexpectedly
批|[pī] {classifier for a batch/lot}>, comment, criticize, refute; 批评 pīpíng criticize
送|[sòng] see somebody off, deliver, give
澤|[zé] 沼泽 zhǎozé marsh, swamp; 色泽 sèzé colour and lustre; 毛泽东 Máo Zédōng CCP leader and founder of the PRC
緊|[jǐn] tight; 紧张 jǐnzhāng tense; 要紧 yàojǐn important
幫|[bāng] (=帮助 bāngzhù, 帮忙 bāngmáng) help, gang
線|[xiàn] line, thread; 光线 guāngxiàn light ray; 电线 diànxiàn (electric) wire
存|[cún] (=存在 cúnzài) exist; 保存 bǎocún preserve
願|[yuàn] wish
奇|[qí] marvellous, (=希奇 xīqí) rare, strange<br /><br />[jī] odd (not even)
害|[hài] harmful; 害虫 hàichóng destructive insect; 厉害 lìhai fierce
增|[zēng] (=增加 zēngjiā, =增长 zēngzhǎng) increase
楊|[yáng] poplar tree; 三角叶杨 sānjiǎoyèyáng cottonwood
料|[liào] (=材料 cáiliào) material, expect, anticipate; 资料 zīliào means, data, material
州|[zhōu] prefecture; 广州 Guǎngzhōu Canton
節|[jié] joint, section, festival, holiday, (=节日 jiérì) holiday<br /><br />[jiē] knot, link; 节子 jiēzi gnarl, knot (in wood)
左|[zuǒ] left; 左边 zuǒbiān left side
裝|[zhuāng] dress up, load, install, (=假装 jiǎzhuāng) pretend
易|[yì] (=容易 róngyì) easy, change; 易经 Yìjīng Book of Changes
急|[jí] urgent; 着急 zháojí anxious; 急忙 jímáng in a hurry
久|[jiǔ] (for a) long time
低|[dī] low; 降低 jiàngdī reduce; 低级 dījí elementary; 高低 gāodī height
歲|[suì] years old; 岁数 suìshu age; 万岁 wànsuì long life, Your/His Majesty, "Banzai"
需|[xū] (=需要 xūyào) need; 必需 bìxū essential
酒|[jiǔ] wine; 啤酒 píjiǔ beer; 喝酒 hējiǔ drink wine
河|[hé] river; 河南省 Hénán shěng Henan Province; 运河 yùnhé canal
初|[chū] beginning, first (in order); 初步 chūbù preliminary; 起初 qǐchū at first
游|[yóu] (=游泳 yóuyǒng) swim, (=旅游 lǚyóu) travel
嚴|[yán] severe, stern
鐵|[tiě] iron; 地铁 dìtiě underground, subway
族|[zú] (=民族 mínzú) people, nationality, (=种族 zhǒngzú) race
除|[chú] get rid of, divide, (=除了 chúle) except
份|[fèn] portion, share, copy, {classifier for portion, share, copies of newspapers etc.}>, college degree
敢|[gǎn] dare; 勇敢 yǒnggǎn brave
胡|[hú] recklessly; 胡说 nonsense (F鬍) (=胡子 húzi) beard (F衚) 胡同 hútòng lane
血|[xuè] blood<br /><br />[xiě] blood
企|[qǐ] stand on tiptoe, hope for, look forward to; 企业 qǐyè enterprise; 企图 qǐtú attempt; 企鹅 penguin
仍|[réng] (=仍然 réngrán, =仍旧 réngjiù) still, yet, as before
投|[tóu] throw; 投票 tóupiào vote
聞|[wén] smell, hear; 新闻 xīnwén news
斗|[dǒu] 10 liters; 烟斗 yāndǒu tobacco/opium pipe; 北斗星 Běidǒuxīng The Big Dipper, The Plow<br /><br />[dòu] (F鬥) fight
紀|[jì] 世纪 shìjì century; 纪念 jìniàn memento; 纪律 jìlǜ discipline<br /><br />[Jǐ] {family name}>
腳|[jiǎo] foot; 赤脚 chìjiǎo barefoot; 脚趾 jiǎozhǐ toe<br /><br />[jué] (=角 jiǎo) role, part, character, actor, actress
右|[yòu] right; 右边 yòubiān right side; 左右 zuǒyòu around, nearby, more or less<br /><br />{Compare with 石 shí stone}
蘇|[sū] 苏醒 sūxǐng revive; 苏州 Sūzhōu; 苏联 Sūlián USSR
標|[biāo] mark; 标准 biāozhǔn standard
飯|[fàn] rice, food
云|[yún] say, (F雲) (=云彩 yúncai) cloud
病|[bìng] sick; 毛病 máobing malfunction
醫|[yī] (=医学 yīxué) medical science; 医生 yīshēng doctor; 医院 yīyuàn hospital
阿|[ā] 阿拉伯 ālābó Arab<br /><br />[ē] 阿弥陀佛ēmítuógó Amitabha = Buddha preserve us
答|[dá] (=回答 huídá) answer<br /><br />[dā] 答应 dāying respond, promise
土|[tǔ] earth, (=土地 tǔdì) land, (=土壤 tǔrǎng) soil<br /><br />{Compare with 士 shì scholar}
況|[kuàng] 情况 qíngkuàng circumstances; 况且 kuàngqiě moreover
境|[jìng] border, territory; 环境 huánjìng environment
軟|[ruǎn] soft; 软件 ruǎnjiàn software
考|[kǎo] (=考虑 kǎolǜ) consider, (=考试 kǎoshì) exam
娘|[niáng] mother, aunt<br /><br />[niang] 姑娘 gūniang girl
村|[cūn] village, rustic; 农村 nóngcūn countryside, village
刀|[dāo] knife
擊|[jī] beat, strike, knock; 打击 dǎjī strike, hitt, attack, assault
僅|[jǐn] (=仅仅 jǐnjǐn) only, barely
查|[chá] examine, investigate; 检查 jiǎnchá inspect<br /><br />[Zhā] {family name}>
引|[yǐn] draw, stretch, (=引起 yǐnqǐ) cause, (=吸引 xīyǐn) attract
朝|[cháo] towards, dynasty; 朝鲜 Cháoxiān Korea<br /><br />[zhāo] (morning)
育|[yù] raise, educate; 教育 jiàoyù education<br /><br />[yō] 杭育 hángyō heave-ho, yo-ho
續|[xù] (=继续 jìxù) continue; 连续 liánxù continuous
獨|[dú] only, alone; 独立 dúlì independent
羅|[luó] (=罗网 luówǎng) birdnet; 罗马 Luómǎ Rome; 罗盘 luópán compass<br /><br />[luō] 罗嗦 luōsuo wordy, troublesome; 哩哩罗罗 līliluōluō the sound of boiling/rumbling/etc.
買|[mǎi] buy
戶|[hù] door, household; 窗户 chuānghù window
護|[hù] (=保护 bǎohù) guard, protect; 护士 hùshi nurse
喝|[hē] drink<br /><br />[hè] shout
朋|[péng] 朋友 péngyǒu friend<br /><br />{Compare with 丽 lì beautiul and 册 cè book}
供|[gōng] supply<br /><br />[gòng] confess
責|[zé] duty; 责任 zérèn responsibility
項|[xiàng] (=项目 xiàngmù) item
背|[bèi] back<br /><br />[bēi] carry on the back
余|[yú] I, me, (F餘) left-over, extra; 其余 the rest; 余弦 cosine
希|[xī] sparse, scattered, watery, this; 希望 xīwàng hope; 希奇 xīqí rare, strange; 希腊 Xīlà Greece
衛|[wèi] 保卫 defend; 卫生 sanitary; 卫星 satellite
列|[liè] column, line up; 列车 lièchē train; 排列 páiliè arrange
圖|[tú] picture; 地图 dìtú map; 图书馆 túshūguǎn library
室|[shì] room; 教室 jiàoshì classroom; 卧室 wòshì bedroom; 办公室 bàngōngshì office
亂|[luàn] chaotic, disorderly, messy; 混乱 hùnluàn chaos
劉|[Liú] {family name}>
爺|[yé] father; 爷爷 yéye grandpa
龍|[lóng] dragon; 恐龙 kǒnglóng dinosaur
咱|[zán] (=咱们 zánmen) we = you and I<br /><br />[zan] (abbreviation for 早晚 zǎowǎn) all the time, morning and evening, sooner or later
章|[zhāng] chapter, seal, stamp, medal, badge, rules
席|[xí] mat, seat, banquet; 主席 zhǔxí chairperson
錯|[cuò] (=错误 cuòwù) mistake; 不错 búcuò not bad, pretty good; 一点儿不错! yìdiǎnr búcuò! perfectly correct!
兄|[xiōng] (elder) brother; 兄弟 xiōngdì brothers<br /><br />{Compare with 儿(F兄) ér child and 只 zhǐ only}
暗|[àn] (=黑暗 hēi'àn) dark; 暗暗 secretly; 阴暗 gloomy; 暗示 hint
創|[chuàng] 创造 chuàngzào create<br /><br />[chuāng] 创伤 chuāngshāng trauma
排|[pái] arrange, row, line<br /><br />[pǎi] 排子车 pǎizìchē handcart
春|[chūn] (=春天 chūntiān, =春季 chūnjì) spring; 春卷 chūnjuǎn spring roll; 春夏秋冬 chūnxiàqiūdōng the four seasons
须|[xū] (F須) (=必须 bìxū) must, (F鬚) (=胡须 húxū) beard
承|[chéng] 承认 chéngrèn admit; 继承 jìchéng inherit
案|[àn] desk, (law) case; 答案 dá'àn answer or solution to a problem
忙|[máng] hurry, busy; 帮忙 help; 连忙 right away
呼|[hū] shout, exhale; 呼吸 hūxī breathe; 欢呼 huānhū cheer
樹|[shù] tree; 树林 shùlín woods; 树木 shùmù trees; 树干 shùgàn trunk
痛|[tòng] painful; 痛苦 tòngkǔ suffering; 痛快 tòngkuai delighted
沉|[chén] to sink; 沉重 chénzhòng heavy<br /><br />[chēn] 黑沉沉 hēichēnchēn pitch-black
啊|[a] (used as phrase suffix, indicating obviousness/impatience)<br /><br />[ā] (indicating elation); 啊!我又赢了! ā! Wǒ yòu yíngle! Ha! I've won again!<br /><br />[á] (indicating doubt or questioning), huh?; 啊?你说什么? ?? Nǐ shuō shenme? Huh? What are you saying?<br /><br />[ǎ] (indicating puzzled surprise)<br /><br />[à] (indicating agreement/approval); 啊,好吧! ?, hǎoba! Well, OK!
靈|[líng] clever, spirit, soul, elf; 灵活 línghuó nimble, easy
職|[zhí] duty; 职工 zhígōng staff; 职业 zhíyè occupation
鄉|[xiāng] countryside, home town
細|[xì] thin; 仔细 zǐxì careful; 细胞 xìbāo cell; 详细 xiángxì detailed
訴|[sù] 告诉 gàosu tell; 诉讼 sùsòng lawsuit
態|[tài] form; 态度 tàidu manner; 状态 zhuàngtài state
停|[tíng] (=停止 tíngzhǐ) stop; 停车场 tíngchēchǎng parking lot
印|[yìn] (=印刷 yìnshuā) print, (=印章 yìnzhāng) seal
筆|[bǐ] writing implement; 毛笔 brush; 钢笔 pen; 铅笔 pencil
夏|[xià] (=夏天 xiàtiān) summer; 春夏秋冬 chūnxiàqiūdōng the four seasons
助|[zhù] (=帮助 bāngzhù) help
福|[fú] blessing, good fortune, (=幸福 xìngfú) happiness, happy; 祝福 zhùfú invoke/wish a blessing; 福建 Fújiàn<br /><br />{It is common to hang calligraphy of this character up-side-down on doors, in order to get people to note that 福倒了 fú dàole = "The 'Fu' is up-side-down", which is pronounced just as 福到了 = "Fortune/happiness has come"}
塊|[kuài] piece, lump, chunk, (=元 yuán) Chinese dollar
冷|[lěng] cold; 冷静 lěngjìng calm
球|[qiú] ball; 足球 zúqiú football (soccer); 地球 dìqiú the Earth
姑|[gū] 姑娘 gūniang girl
划|[huá] row (a boat) (F劃) scratch<br /><br />[huà] (F劃) (=计划 jìhuà) plan (F畫)
既|[jì] since, already; 既然 jìrán since, now that
質|[zhì] (=物质 wùzhì) matter, substance; 质量 zhìliàng quality, mass
巴|[bā] 尾巴 wěiba tail; 嘴巴 zuǐbā mouth; 巴西 Bāxī Brazil<br /><br />[bà] 嘴巴子 zuǐbàzi mouth, a slap in the face
致|[zhì] send, convey; 一致 yízhì identical, (F緻) 细致 xìzhì careful
灣|[wān] harbor; 台湾 Táiwān
演|[yǎn] (=表演 biǎoyǎn) perform, act, performance
木|[mù] tree, (=木头 mùtou) wood;<br /><br />{Compare with 本 běn root and 大 dà big}
韋|[wéi] soft leather, {family name}>
怪|[guài] blame, (=奇怪 qíguài) strange; 怪物 guàiwu monster
圍|[wéi] surround; 围棋 wéiqí Japanese "go"
靜|[jìng] still, quiet; 静电 jìngdiàn static electricity
旁|[páng] (=旁边 pángbiān) side<br /><br />[bàng] (=傍)
園|[yuán] (=花园 huāyuán) garden, (=公园 gōngyuán) park
否|[fǒu] not; 是否 shìfǒu whether or not, is (it) or is (it) not?<br /><br />[pǐ] bad, inferior; 臧否 zāngpǐ pass judgment (on people)
副|[fù] assist, vice-; 副词 fùcí adverb
輯|[jí] 编辑 biānjí edit; 逻辑 luójí {loan}> logic
采|[cǎi] pick, gather (F採)<br /><br />[cài] (F埰) 采地 càidì fief
食|[shí] eat, (=食物 shíwù, =食品 shípǐn) food<br /><br />[sì] feed
登|[dēng] climb
夠|[gòu] enough; 能够 nénggòu be capable of
賽|[sài] contest; 比赛 match, race
米|[mǐ] (=米饭 mǐfàn) rice, meter; 玉米 yùmǐ corn
假|[jiǎ] false<br /><br />[jià] (=假期 jiàqī) vacation
較|[jiào] relatively, quite; 比较 bǐjiào compare, relatively<br /><br />[jiǎo] (bǐjiǎo = bǐjiào)
姐|[jiě] (=姐姐 jiějie) older sister; 小姐 xiǎojie young lady
樓|[lóu] story, building; 大楼 mansion; 楼梯 lóutī stairs
获|[huò] (F獲) (=获得 huòdé) get, obtain, (F穫) 收获 shōuhuò harvest
孫|[sūn] grandchild; 子孙 zǐsūn children and grandchildren, descendants; 孙悟空 Sūn Wùkōng monkey with supernatural powers in the nobel "Journey to the West"; 孙中山 Sūn Zhōngshān = 孙逸仙 Sūn Yixiān = Sun Yat-sen, leader of the Republican Revolution and the KMT
宣|[xuān] (=宣布 xuānbù) declare; 宣传 propaganda
穿|[chuān] penetrate, wear
詩|[shī] poem; 诗人 shīrén poet
歌|[gē] song; 唱歌 chànggē to sing
速|[sù] fast; 速度 sùdù speed
忽|[hū] disregard, (=忽然 hūrán) suddenly, (=忽而 hū'ér) now...
堂|[táng] hall; 食堂 shítáng dining hall, canteen; 课堂 kètáng classroom<br /><br />[tāng] 亮堂堂 liàngtāngtāng brightly lit, brilliant
敵|[dí] (敌人 dírén) enemy; 敌军 enemy troops
試|[shì] try, test; 考试 kǎoshì test, quiz
謝|[xiè] thank; 谢谢 xièxie thanks; 非常感谢
央|[yāng] entreat, center; 中央 central; 央求 beg, plead
懷|[huái] bosom, cherish; 怀疑 huáiyí suspect; 怀念 huáiniàn cherish memory
顧|[gù] (=照顾 zhàogu) look after; 顾客 gùkè customer
驗|[yàn] (=经验 jīngyàn) experience
營|[yíng] camp; 营火 campfire; 营业 do business
止|[zhǐ] (=停止 tíngzhǐ) stop
姓|[xìng] family name; 姓名 xìngmíng full name (family name and personal name); 您贵姓 Nín guìxìng? (May I ask for) your family name, Sir/Madame?
養|[yǎng] raise, nourish; 营养 yíngyǎng nutrition
麗|[lì] 美丽 měilì beautiful; 壮丽 majestic<br /><br />[Lí] Korea<br /><br />{Compare with 朋 péng friend and 册 cè book}
屬|[shǔ] belong to, be subordinate to, born in a specific year acoording to the Chinese calendar<br /><br />[zhǔ] enjoin
景|[jǐng] scene, scenery; 风景 fēngjǐng scenery, landscape
郭|[guō] outer wall of city, {family name}>
依|[yī] (=依靠 yīkào) depend on, comply with, according to; 依然 yīrán still
威|[wēi] 威胁 wēixié threaten, imperil; 示威 shìwēi demonstrate; 挪威 Nuówēi Norway
按|[àn] press, (=按照 ànzhào) according to; 按摩 ànmó massage
惡|[è] evil<br /><br />[wù] (厌恶) hate<br /><br />[ě] (恶心) nauseous
慢|[màn] slow
座|[zuò] (=座位 zuòwèi) seat, place, stand, pedestal, base, {classifier for mountains, bridges etc.}>
罪|[zuì] crime, guilt
維|[wéi] 纤维 xiānwéi fiber; 维护 wéihù safeguard; 思维 síwéi think
漸|[jiàn] (=渐渐 jiànjiàn, =逐渐 zhújiàn) gradually<br /><br />[jiān] dip/soak in liquid
勝|[shèng] (=胜利 shènglì) victory, triumph, win
藏|[cáng] store; conceal, hide<br /><br />[zàng] (=西藏 Xīzàng) Tibet
皇|[huáng] 皇帝 huángdì emperor; 皇后 huánghòu empress
街|[jiē] street; 街道 street, neighborhood; 街头 street-corner
激|[jī] surge, dash, (=激动 jīdòng) excite; 激烈 jīliè intense
異|[yì] different; 异常 yìcháng unusual
摘|[zhāi] pick, take off, select
角|[jiǎo] horn, corner, dime<br /><br />[jué] actor, role
瞧|[qiáo] look
負|[fù] carry on shoulder, suffer, negative
施|[shī] carry out; 措施 cuòshī to measure, step; 施工 construction
模|[mó] 模范 mófàn model; 模仿 mófǎng imitate<br /><br />[mú] 模样 múyàng appearance; 模子 múzi mold, pattern, die
草|[cǎo] grass; 草莓 cǎoméi strawberry
某|[mǒu] certain, some; 某人 mǒurén somebody
銀|[yín] silver; 银行 yínháng bank
露|[lù] (=露水 lùshui) dew, show, reveal, betray<br /><br />[lòu] reveal
陣|[zhèn] battle array, {classifier for phases, spells etc.}>; 一阵风 yí zhèn fēng a short period of time
值|[zhí] (=值得 zhíde) be worth, (=价值 jiàzhí) value
班|[bān] class, work; 上班 shàngbān go to work; 值班 zhíbān be on duty
層|[céng] layer, level, storey
修|[xiū] repair, decorate; 修改 xiūgǎi revise
差|[chà] differ, wrong<br /><br />[chā] 差别 difference<br /><br />[chāi] 出差<br /><br />[cī] rank<br /><br />[cuō] stumble
味|[wèi] (=味道 wèidao) flavor, taste
織|[zhī] weave, knit; 组织 zǔshī organize; 纺织 fǎngzhī spin and weave
藥|[yào] medicine, drug
館|[guǎn] building; 饭馆 restaurant
密|[mì] thick, dense
亮|[liàng] bright, light, shine, loud and clear; 漂亮 piàoliang handsome, beautiful, remarkable, brilliant, smart
律|[lǜ] 法律 fǎlǜ law; 律师 lǜshū lawyer; 纪律 jìlǜ discipline; 旋律 xuánlǜ tune, melody
習|[xí] 练习 liànxí practice; 学习 xuéxí study; 习惯 xíguàn habit
田|[tián] field; 田野 tiányě open country
簡|[jiǎn] 简单 jiǎndān simple; 简体字 jiǎntǐzì simple form character
免|[miǎn] exempt; 避免 bìmiǎn avoid; 免费 miǎnfèi free
毒|[dú] (毒物) poison; (毒品) drug; 病毒 virus
歸|[guī] return
波|[bō] (=波浪 bōlàng) wave; 波长 bīchánga wavelength
型|[xíng] mould, type; 典型 diǎnxíng typical
屋|[wū] (屋子 wūzi) room, (=房屋 fángwū) building; 屋顶 roof
換|[huàn] change, exchange
救|[jiù] help, rescue; 救命 jiùmìng! Help! Save me!
寄|[jì] to mail; 寄生虫 jìshēngchóng parasite
帝|[dì] emperor; 帝国 dìguó empire; 上帝 Shàngdì God
退|[tuì] go backwards, (=后退 hòutuì) retreat; 撤退 chètuì withdraw
洋|[yáng] (=海洋 hǎiyáng) ocean; 太平洋 Tàipíng Yáng Pacific Ocean<br /><br />[yāng] 暖洋洋 nuǎnyāngyāng warm
絲|[sī] silk, thread
湖|[hú] lake; 湖泊 húpō lakes; 湖南 Húnán; 湖北 Húběi
睡|[shuì] (=睡觉 shuìjiào) sleep
勞|[láo] (=劳动 láodòng) labor<br /><br />[lào] encourage, console
婦|[fù] (=妇女 fùnǚ) woman; 夫妇 fūfù married couple
伯|[bó] eldest brother, uncle<br /><br />[bǎi] 大伯子 dàbǎizi eldest brother of one's husband<br /><br />[bai] 叔伯 shūbai cousinship on father's side<br /><br />[bà] (=霸)<br /><br />{Compare with 佰 bǎi hundred}
尼|[ní] 尼姑 Buddhist nun; 尼加拉瓜 Níjiālāguā Nicaragua; 尼龙 nílóng nylon
皮|[pí] (=皮肤 pífū) skin
祖|[zǔ] (祖先 zǔxiān) ancestor; 祖母 zǔmǔ grandmother
雄|[xióng] powerful, male; 英雄 yīngxióng hero; 雄伟 xióngwěi grand; 雄鸡 xióngjī rooster
婚|[hūn] (=结婚 jíehūn) marry; 婚礼 hūnlǐ wedding; 婚姻 hūnyīn marriage
康|[kāng] 健康 jiànkāng health; 康熙字典 Kāngxī Zìdiǎn dictionary compiled in the Kangzi period
評|[píng] criticize, comment, review
追|[zhuī] pursue
哈|[hā] exhale, sip, aha!, {the sound of laughter, etc.}><br /><br />[hǎ] {family name}><br /><br />[hà] 哈撒 hàsa shake, swing; 哈什蚂 hàshimǎ Chinese forest frog
絡|[luò] net, twine<br /><br />[lào] 挂络 guàlào involvement, implication
店|[diàn] (=商店 shāngdiàn) store, shop; 饭店 fàndiàn restaurant
翻|[fān] turn over; 翻译 fānyì translate
環|[huán] ring; 环境 huánjìng environment, surroundings
禮|[lǐ] ceremony; 婚礼 hūnlǐ wedding; 礼貌 lǐmào polite
跑|[pǎo] run<br /><br />[páo] paw the earth
超|[chāo] (=超过 chāoguò) go past, exceed, (=超级 chāojí) super
叶|[yè] (F葉) leaf (of a plant)<br /><br />[xié] harmonize
壓|[yā] press, pressure<br /><br />[yà] 压根 yàgēn from the start, in the first place, altogether, entirely, totally, at all, simply
占|[zhān] fortune telling<br /><br />[zhàn] occupy; 占领 zhànlǐng capture
均|[jūn] even; 平均 píngjūn average
永|[yǒng] (=永远 yǒngyuǎn) always, forever, eternal<br /><br />{Compare with 水 shuǐ water}
烈|[liè] (=强烈 qiángliè) intense; 热烈 ardent; 烈士 martyr
獎|[jiǎng] prize, award; 奖金 bonus; 奖学金 scholarship
婆|[pó] old lady; 老婆 lǎopo wife
趕|[gǎn] catch up
富|[fù] (=富有 fùyǒu) rich; 丰富 fēngfù abundant; 财富 cáifù wealth
蘭|[lán] 兰花 lánhuā orchid
錄|[lù] record; 记录 jìlù take notes; 录音机 tape recorder
畫|[huà] draw, picture
遇|[yù] meet; 遇到 yùdào encounter
頓|[dùn] to pause, meal
藝|[yì] skill, (=艺术 yìshù) art; 文艺 wényì literature and art
普|[pǔ] 普通 pǔtōng common; 普通话 Pǔtōnghuà Common Speach = Mandarin; 普遍 pǔbiàn universal
判|[pàn] judge; 批判 pīpàn criticize
源|[yuán] (=来源 láiyuán) source, origin; 资源 zīyuán resources
億|[yì] 100 million
素|[sù] plain, white, vegetarian; 因素 yīnsù factor, element
船|[chuán] boat, ship; 渡船 dùchuán ferry; 宇宙飞船 yǔzhòu fēichuán "cosmic flying boat" = spaceship
繼|[jì] (=继续 jìxù) continue; 继承 jìchéng inherit
尚|[shàng] esteem; 高尚 gāoshàng noble, lofty<br /><br />[shang] 和尚 héshang monk
嘴|[zuǐ] (嘴巴 zuǐba) mouth; 嘴唇 zuǐchún lip
察|[chá] 观察 guānchá observe; 警察 jǐngchá police
雨|[yǔ] rain; 雨水 rainwater; 暴风雨 bàofēngyǔ rainstorm
優|[yōu] excellent; 优良 fine; 优秀 outstanding; 优越 yōuyuè superior
您|[nín] {polite}> you; 您贵姓 Nín guìxìng? (May I ask for) your family name, Sir/Madame?
險|[xiǎn] (危险 wēixiǎn) danger; 保险 bǎoxiǎn insurance
烟|[yān] (F煙) smoke, cigarette, mist<br /><br />[yīn] (=氤)
階|[jiē] (=台阶) steps; 阶级 class; 军阶 rank; 阶段 phase
擔|[dān] carry on a shoulder pole<br /><br />[dàn] two buckets full, 50 kg.
散|[sàn] break up, distribute, dispel<br /><br />[sǎn] fall apart, scattered
板|[bǎn] board, hard, (F闆) 老板 lǎobǎn shopkeeper, proprietor, boss
钟|[zhōng] (F鐘) bell, clock; 三点钟 3 o'clock, (F鍾) 钟爱 zhōng'ài dote on, {family name}>
訪|[fǎng] (=访问 fǎngwèn) visit; 采访 gather material
妹|[mèi] (妹妹 mèimei) little sister; 姐妹 jiěmèi sisters<br /><br />{Compare with 妺 mò = wife of the last ruler of the Xia dynasty}
伸|[shēn] stretch
佛|[Fó] Buddha; 佛教 Fójiào Buddhism<br /><br />[fú] 仿佛 fǎngfú seem
限|[xiàn] limit, bounds; 有限 limited; 限制 restrict
討|[tǎo] (=讨论 tǎolùn) discuss; 讨厌 tǎoyàn digusting<br /><br />{讨口彩 tǎokǒucǎi = 讨个吉利(话) tǎo ge jílì(huà) to ask for something as a token of good omen}
臨|[lín] overlook, be adjacent to; 临时 temporary
吳|[Wú] {family name}>, Wu Kingdom (222-280 A.D.)
搖|[yáo] shake
跳|[tiào] jump; 跳伞 tiàosǎn parachute; 跳舞 tiàowǔ dance
曲|[qū] (=弯曲 wānqū) curved<br /><br />[qǔ] melody
練|[liàn] white silk, (=练习 liànxí) practice
構|[gòu] 结构 jiégòu structure; 构成 constitute; 构造
玩|[wán] play; 玩具 wánjù toy; 好玩儿 hǎowánr fun
玉|[yù] (玉石 yùshí) jade; 玉米 yùmǐ corn<br /><br />{Compare with 王 wáng king}
犯|[fàn] violate; 犯罪 fànzuì commit a crime; 罪犯 criminal
廠|[chǎng] (=工厂 gōngchǎng) factory
肯|[kěn] be willing to, consent; 肯定 kěndìng definitely
協|[xié] 协作 xiézuò cooperate
幸|[xìng] good fortune, luck; 幸福 xìngfú happy
揮|[huī] wave, wield; command an army; 挥手 wave (one's hand)
效|[xiào] (=效果 xiàoguǒ) effect, result; 有效 yǒuxiào effective
齊|[qí] 整齐 zhěngqí neat; 一齐 yìqí together<br /><br />[zhāi] (=斋)<br /><br />[zī] (=粢)
封|[fēng] to seal; 封建 feudal; 信封 envelope
